itinerary_id,origin,destination,departure_date,return_date,price_raw,price_formatted,currency,outbound_duration,return_duration,outbound_stops,return_stops,outbound_carriers,return_carriers,outbound_departure,outbound_arrival,return_departure,return_arrival,score,is_self_transfer,search_key
10957-2607091215--32213-1-14325-2607100830|14325-2607171615--32348-1-10957-2607180905,DEL,MRU,2026-07-09,2026-07-17,101310.0,"₹101,310",INR,1305,920,1,1,IndiGo,Emirates,2026-07-09T12:15:00,2026-07-10T08:30:00,2026-07-17T16:15:00,2026-07-18T09:05:00,0.317888,False,DEL-MRU_2026-07-09_2026-07-17
10957-2607090545--32213-1-14325-2607100830|14325-2607171615--32348-1-10957-2607180905,DEL,MRU,2026-07-09,2026-07-17,101310.0,"₹101,310",INR,1695,920,1,1,IndiGo,Emirates,2026-07-09T05:45:00,2026-07-10T08:30:00,2026-07-17T16:15:00,2026-07-18T09:05:00,0.270478,False,DEL-MRU_2026-07-09_2026-07-17
10075-2607092225--32348-1-14325-2607100925|14325-2607172240--32672-0-10075-2607180635,BOM,MRU,2026-07-09,2026-07-17,101312.0,"₹101,312",INR,750,385,1,0,Emirates,Air India,2026-07-09T22:25:00,2026-07-10T09:25:00,2026-07-17T22:40:00,2026-07-18T06:35:00,0.423961,False,BOM-MRU_2026-07-09_2026-07-17
10075-2607090425--32348-1-14325-2607091710|14325-2607172240--32672-0-10075-2607180635,BOM,MRU,2026-07-09,2026-07-17,101312.0,"₹101,312",INR,855,385,1,0,Emirates,Air India,2026-07-09T04:25:00,2026-07-09T17:10:00,2026-07-17T22:40:00,2026-07-18T06:35:00,0.388061,False,BOM-MRU_2026-07-09_2026-07-17
10075-2607091600--32348-1-14325-2607100925|14325-2607172240--32672-0-10075-2607180635,BOM,MRU,2026-07-09,2026-07-17,101312.0,"₹101,312",INR,1135,385,1,0,Emirates,Air India,2026-07-09T16:00:00,2026-07-10T09:25:00,2026-07-17T22:40:00,2026-07-18T06:35:00,0.316576,False,BOM-MRU_2026-07-09_2026-07-17
10075-2607091015--32348-1-14325-2607100925|14325-2607172240--32672-0-10075-2607180635,BOM,MRU,2026-07-09,2026-07-17,101312.0,"₹101,312",INR,1480,385,1,0,Emirates,Air India,2026-07-09T10:15:00,2026-07-10T09:25:00,2026-07-17T22:40:00,2026-07-18T06:35:00,0.258014,False,BOM-MRU_2026-07-09_2026-07-17
"10957-2607102205--32348,-32652-1-14325-2607110925|14325-2607152100--32652-0-10957-2607160615",DEL,MRU,2026-07-10,2026-07-15,101333.0,"₹101,333",INR,770,465,1,0,"Emirates, Air Mauritius",Air Mauritius,2026-07-10T22:05:00,2026-07-11T09:25:00,2026-07-15T21:00:00,2026-07-16T06:15:00,0.510074,False,DEL-MRU_2026-07-10_2026-07-15
10075-2607081600--32348-1-14325-2607090925|14325-2607162240--32672-0-10075-2607170635,BOM,MRU,2026-07-08,2026-07-16,101353.0,"₹101,353",INR,1135,385,1,0,Emirates,Air India,2026-07-08T16:00:00,2026-07-09T09:25:00,2026-07-16T22:40:00,2026-07-17T06:35:00,0.261939,False,BOM-MRU_2026-07-08_2026-07-16
10075-2607081930--32348-1-14325-2607091710|14325-2607162240--32672-0-10075-2607170635,BOM,MRU,2026-07-08,2026-07-16,101353.0,"₹101,353",INR,1390,385,1,0,Emirates,Air India,2026-07-08T19:30:00,2026-07-09T17:10:00,2026-07-16T22:40:00,2026-07-17T06:35:00,0.224308,False,BOM-MRU_2026-07-08_2026-07-16
10075-2607082225--32348-1-14325-2607090925|14325-2607172240--32672-0-10075-2607180635,BOM,MRU,2026-07-08,2026-07-17,101353.0,"₹101,353",INR,750,385,1,0,Emirates,Air India,2026-07-08T22:25:00,2026-07-09T09:25:00,2026-07-17T22:40:00,2026-07-18T06:35:00,0.35079,False,BOM-MRU_2026-07-08_2026-07-17
10075-2607081930--32348-1-14325-2607090925|14325-2607172240--32672-0-10075-2607180635,BOM,MRU,2026-07-08,2026-07-17,101353.0,"₹101,353",INR,925,385,1,0,Emirates,Air India,2026-07-08T19:30:00,2026-07-09T09:25:00,2026-07-17T22:40:00,2026-07-18T06:35:00,0.303929,False,BOM-MRU_2026-07-08_2026-07-17
10075-2607081600--32348-1-14325-2607090925|14325-2607172240--32672-0-10075-2607180635,BOM,MRU,2026-07-08,2026-07-17,101353.0,"₹101,353",INR,1135,385,1,0,Emirates,Air India,2026-07-08T16:00:00,2026-07-09T09:25:00,2026-07-17T22:40:00,2026-07-18T06:35:00,0.261939,False,BOM-MRU_2026-07-08_2026-07-17
10075-2607091600--32348-1-14325-2607100925|14325-2607162240--32672-0-10075-2607170635,BOM,MRU,2026-07-09,2026-07-16,101353.0,"₹101,353",INR,1135,385,1,0,Emirates,Air India,2026-07-09T16:00:00,2026-07-10T09:25:00,2026-07-16T22:40:00,2026-07-17T06:35:00,0.316453,False,BOM-MRU_2026-07-09_2026-07-16
10075-2607091930--32348-1-14325-2607101710|14325-2607162240--32672-0-10075-2607170635,BOM,MRU,2026-07-09,2026-07-16,101353.0,"₹101,353",INR,1390,385,1,0,Emirates,Air India,2026-07-09T19:30:00,2026-07-10T17:10:00,2026-07-16T22:40:00,2026-07-17T06:35:00,0.270991,False,BOM-MRU_2026-07-09_2026-07-16
10075-2607091015--32348-1-14325-2607100925|14325-2607162240--32672-0-10075-2607170635,BOM,MRU,2026-07-09,2026-07-16,101353.0,"₹101,353",INR,1480,385,1,0,Emirates,Air India,2026-07-09T10:15:00,2026-07-10T09:25:00,2026-07-16T22:40:00,2026-07-17T06:35:00,0.257913,False,BOM-MRU_2026-07-09_2026-07-16
"10957-2607082030--32213,-32348-2-14325-2607091430|14325-2607150930--32672,-32671-1-10957-2607161700",DEL,MRU,2026-07-08,2026-07-15,101355.0,"₹101,355",INR,1170,1800,2,1,"IndiGo, Emirates","Air India, Air India Express",2026-07-08T20:30:00,2026-07-09T14:30:00,2026-07-15T09:30:00,2026-07-16T17:00:00,0.21074,False,DEL-MRU_2026-07-08_2026-07-15
10075-2607092130--32213-1-14325-2607100830|14325-2607171615--32348-1-10075-2607180815,BOM,MRU,2026-07-09,2026-07-17,101432.0,"₹101,432",INR,750,870,1,1,IndiGo,Emirates,2026-07-09T21:30:00,2026-07-10T08:30:00,2026-07-17T16:15:00,2026-07-18T08:15:00,0.296713,False,BOM-MRU_2026-07-09_2026-07-17
10075-2607091830--32213-1-14325-2607100830|14325-2607171615--32348-1-10075-2607180815,BOM,MRU,2026-07-09,2026-07-17,101432.0,"₹101,432",INR,930,870,1,1,IndiGo,Emirates,2026-07-09T18:30:00,2026-07-10T08:30:00,2026-07-17T16:15:00,2026-07-18T08:15:00,0.267041,False,BOM-MRU_2026-07-09_2026-07-17
10075-2607091230--32213-1-14325-2607100830|14325-2607171615--32348-1-10075-2607180815,BOM,MRU,2026-07-09,2026-07-17,101432.0,"₹101,432",INR,1290,870,1,1,IndiGo,Emirates,2026-07-09T12:30:00,2026-07-10T08:30:00,2026-07-17T16:15:00,2026-07-18T08:15:00,0.222534,False,BOM-MRU_2026-07-09_2026-07-17
10075-2607090805--32213-1-14325-2607100830|14325-2607171615--32348-1-10075-2607180815,BOM,MRU,2026-07-09,2026-07-17,101432.0,"₹101,432",INR,1555,870,1,1,IndiGo,Emirates,2026-07-09T08:05:00,2026-07-10T08:30:00,2026-07-17T16:15:00,2026-07-18T08:15:00,0.198216,False,BOM-MRU_2026-07-09_2026-07-17
10957-2607091820--32213-1-14325-2607100830|14325-2607152150--32348-1-10957-2607162025,DEL,MRU,2026-07-09,2026-07-15,101468.0,"₹101,468",INR,940,1265,1,1,IndiGo,Emirates,2026-07-09T18:20:00,2026-07-10T08:30:00,2026-07-15T21:50:00,2026-07-16T20:25:00,0.275987,False,DEL-MRU_2026-07-09_2026-07-15
10957-2607091820--32213-1-14325-2607100830|14325-2607151830--32348-1-10957-2607162025,DEL,MRU,2026-07-09,2026-07-15,101468.0,"₹101,468",INR,940,1465,1,1,IndiGo,Emirates,2026-07-09T18:20:00,2026-07-10T08:30:00,2026-07-15T18:30:00,2026-07-16T20:25:00,0.253036,False,DEL-MRU_2026-07-09_2026-07-15
10957-2607091820--32213-1-14325-2607100830|14325-2607161830--32348-1-10957-2607170905,DEL,MRU,2026-07-09,2026-07-16,101468.0,"₹101,468",INR,940,785,1,1,IndiGo,Emirates,2026-07-09T18:20:00,2026-07-10T08:30:00,2026-07-16T18:30:00,2026-07-17T09:05:00,0.406648,False,DEL-MRU_2026-07-09_2026-07-16
10957-2607091820--32213-1-14325-2607100830|14325-2607162150--32348-1-10957-2607171445,DEL,MRU,2026-07-09,2026-07-16,101468.0,"₹101,468",INR,940,925,1,1,IndiGo,Emirates,2026-07-09T18:20:00,2026-07-10T08:30:00,2026-07-16T21:50:00,2026-07-17T14:45:00,0.376123,False,DEL-MRU_2026-07-09_2026-07-16
10957-2607091820--32213-1-14325-2607100830|14325-2607171830--32348-1-10957-2607182025,DEL,MRU,2026-07-09,2026-07-17,101468.0,"₹101,468",INR,940,1465,1,1,IndiGo,Emirates,2026-07-09T18:20:00,2026-07-10T08:30:00,2026-07-17T18:30:00,2026-07-18T20:25:00,0.293638,False,DEL-MRU_2026-07-09_2026-07-17
10957-2607082200--32213-1-14325-2607090830|14325-2607152100--32672-0-10957-2607160615,DEL,MRU,2026-07-08,2026-07-15,101469.0,"₹101,469",INR,720,465,1,0,IndiGo,Air India,2026-07-08T22:00:00,2026-07-09T08:30:00,2026-07-15T21:00:00,2026-07-16T06:15:00,0.527537,False,DEL-MRU_2026-07-08_2026-07-15
